Segment_ID,Band_ID,Gradient_Band,Start_Distance_km,End_Distance_km,Length_km,Average_Gradient_%,Min_Elevation_m,Max_Elevation_m,Elevation_Change_m
740,6,Gentle Downhill,168.567,168.82,0.253,-4,560.8,570.4,9.6
741,5,Moderate Downhill,168.82,168.935,0.115,-5,554.5,560.8,6.3
742,6,Gentle Downhill,168.935,169.05,0.115,-4,550.3,554.5,4.3
743,7,Flat,169.05,169.395,0.345,0,548.7,550.3,1.6
744,6,Gentle Downhill,169.395,169.464,0.069,-4,547.2,549.6,2.5
745,5,Moderate Downhill,169.464,169.51,0.046,-5,544.8,547.2,2.4
746,6,Gentle Downhill,169.51,169.579,0.069,-4,542.3,544.8,2.5
747,7,Flat,169.579,169.602,0.023,-2,541.8,542.3,0.5
748,6,Gentle Downhill,169.602,169.832,0.23,-4,533.6,541.8,8.1
749,7,Flat,169.832,170.223,0.391,-1,527.9,533.6,5.8
750,6,Gentle Downhill,170.223,170.246,0.023,-3,527.3,527.9,0.6
751,7,Flat,170.246,170.292,0.046,-2,526.3,527.3,1
752,6,Gentle Downhill,170.292,170.752,0.46,-3,511.6,526.3,14.6
753,7,Flat,170.752,171.143,0.391,-2,504.6,511.6,7
754,6,Gentle Downhill,171.143,171.281,0.138,-3,500.2,504.6,4.4
755,7,Flat,171.281,171.327,0.046,-2,499.1,500.2,1.1
756,6,Gentle Downhill,171.327,171.35,0.023,-3,498.5,499.1,0.6
757,7,Flat,171.35,171.488,0.138,-2,495.2,498.5,3.3
758,6,Gentle Downhill,171.488,171.557,0.069,-4,492.8,495.2,2.4
759,5,Moderate Downhill,171.557,171.787,0.23,-6,478.7,492.8,14.1
760,6,Gentle Downhill,171.787,172.086,0.299,-4,466.1,478.7,12.6
761,5,Moderate Downhill,172.086,172.109,0.023,-5,465,466.1,1.2
762,6,Gentle Downhill,172.109,172.224,0.115,-4,460,465,5
763,5,Moderate Downhill,172.224,172.339,0.115,-6,452.6,460,7.4
764,4,Steep Downhill,172.339,172.5,0.161,-9,438.8,452.6,13.8
765,5,Moderate Downhill,172.5,172.546,0.046,-8,435.3,438.8,3.5
766,4,Steep Downhill,172.546,172.683,0.137,-8,423.7,435.3,11.6
767,5,Moderate Downhill,172.683,172.752,0.069,-8,418.4,423.7,5.3
768,4,Steep Downhill,172.752,172.982,0.23,-8,399,418.4,19.4
769,5,Moderate Downhill,172.982,173.074,0.092,-7,393,399,6
770,6,Gentle Downhill,173.074,173.348,0.274,-4,381.9,393,11.1
771,7,Flat,173.348,173.371,0.023,-2,381.3,381.9,0.6
772,6,Gentle Downhill,173.371,173.6,0.23,-3,373.9,381.3,7.4
773,7,Flat,173.6,174.033,0.433,-1,368.6,373.9,5.3
